"source"	"target"	"weight"	"dia"	"x"	"y"	"xend"	"yend"
"151"	"AU"	"GH"	2	2020-10-04	133.775136	-25.274398	-1.023194	7.946527
"152"	"AU"	"GR"	3	2020-10-04	133.775136	-25.274398	21.824312	39.074208
"153"	"AU"	"HK"	12	2020-10-04	133.775136	-25.274398	114.109497	22.396428
"154"	"AU"	"ID"	2	2020-10-04	133.775136	-25.274398	113.921327	-0.789275
"155"	"AU"	"IE"	9	2020-10-04	133.775136	-25.274398	-8.24389	53.41291
"156"	"AU"	"IL"	4	2020-10-04	133.775136	-25.274398	34.851612	31.046051
"157"	"AU"	"IN"	21	2020-10-04	133.775136	-25.274398	78.96288	20.593684
"158"	"AU"	"IQ"	1	2020-10-04	133.775136	-25.274398	43.679291	33.223191
"159"	"AU"	"IR"	23	2020-10-04	133.775136	-25.274398	53.688046	32.427908
"160"	"AU"	"IT"	58	2020-10-04	133.775136	-25.274398	12.56738	41.87194
"161"	"AU"	"JO"	3	2020-10-04	133.775136	-25.274398	36.238414	30.585164
"162"	"AU"	"JP"	5	2020-10-04	133.775136	-25.274398	138.252924	36.204824
"163"	"AU"	"KE"	6	2020-10-04	133.775136	-25.274398	37.906193	-0.023559
"164"	"AU"	"KR"	3	2020-10-04	133.775136	-25.274398	127.766922	35.907757
"165"	"AU"	"LB"	4	2020-10-04	133.775136	-25.274398	35.862285	33.854721
"166"	"AU"	"LK"	5	2020-10-04	133.775136	-25.274398	80.771797	7.873054
"167"	"AU"	"LU"	3	2020-10-04	133.775136	-25.274398	6.129583	49.815273
"168"	"AU"	"MO"	6	2020-10-04	133.775136	-25.274398	113.543873	22.198745
"169"	"AU"	"MU"	1	2020-10-04	133.775136	-25.274398	57.552152	-20.348404
"170"	"AU"	"MY"	22	2020-10-04	133.775136	-25.274398	101.975766	4.210484
"171"	"AU"	"NG"	4	2020-10-04	133.775136	-25.274398	8.675277	9.081999
"172"	"AU"	"NL"	30	2020-10-04	133.775136	-25.274398	5.291266	52.132633
"173"	"AU"	"NO"	4	2020-10-04	133.775136	-25.274398	8.468946	60.472024
"174"	"AU"	"NP"	4	2020-10-04	133.775136	-25.274398	84.124008	28.394857
"175"	"AU"	"NZ"	48	2020-10-04	133.775136	-25.274398	174.885971	-40.900557
"176"	"AU"	"PE"	3	2020-10-04	133.775136	-25.274398	-75.015152	-9.189967
"177"	"AU"	"PG"	2	2020-10-04	133.775136	-25.274398	143.95555	-6.314993
"178"	"AU"	"PK"	7	2020-10-04	133.775136	-25.274398	69.345116	30.375321
"179"	"AU"	"PL"	3	2020-10-04	133.775136	-25.274398	19.145136	51.919438
"180"	"AU"	"PT"	8	2020-10-04	133.775136	-25.274398	-8.224454	39.399872
"181"	"AU"	"QA"	4	2020-10-04	133.775136	-25.274398	51.183884	25.354826
"182"	"AU"	"RS"	1	2020-10-04	133.775136	-25.274398	21.005859	44.016521
"183"	"AU"	"RU"	5	2020-10-04	133.775136	-25.274398	105.318756	61.52401
"184"	"AU"	"SA"	11	2020-10-04	133.775136	-25.274398	45.079162	23.885942
"185"	"AU"	"SB"	1	2020-10-04	133.775136	-25.274398	160.156194	-9.64571
"186"	"AU"	"SE"	17	2020-10-04	133.775136	-25.274398	18.643501	60.128161
"187"	"AU"	"SG"	17	2020-10-04	133.775136	-25.274398	103.819836	1.352083
"188"	"AU"	"SI"	1	2020-10-04	133.775136	-25.274398	14.995463	46.151241
"189"	"AU"	"TH"	6	2020-10-04	133.775136	-25.274398	100.992541	15.870032
"190"	"AU"	"TN"	2	2020-10-04	133.775136	-25.274398	9.537499	33.886917
"191"	"AU"	"TR"	9	2020-10-04	133.775136	-25.274398	35.243322	38.963745
"192"	"AU"	"TW"	13	2020-10-04	133.775136	-25.274398	120.960515	23.69781
"193"	"AU"	"TZ"	1	2020-10-04	133.775136	-25.274398	34.888822	-6.369028
"194"	"AU"	"UG"	1	2020-10-04	133.775136	-25.274398	32.290275	1.373333
"195"	"AU"	"US"	509	2020-10-04	133.775136	-25.274398	-95.712891	37.09024
"196"	"AU"	"UY"	4	2020-10-04	133.775136	-25.274398	-55.765835	-32.522779
"197"	"AU"	"VN"	13	2020-10-04	133.775136	-25.274398	108.277199	14.058324
"198"	"AU"	"VU"	1	2020-10-04	133.775136	-25.274398	166.959158	-15.376706
"199"	"AU"	"XK"	2	2020-10-04	133.775136	-25.274398	20.902977	42.602636
"200"	"AU"	"ZA"	59	2020-10-04	133.775136	-25.274398	22.937506	-30.559482
"201"	"AU"	"ZM"	2	2020-10-04	133.775136	-25.274398	27.849332	-13.133897
"202"	"AU"	"ZW"	2	2020-10-04	133.775136	-25.274398	29.154857	-19.015438
"203"	"AW"	"NL"	1	2020-10-04	-69.968338	12.52111	5.291266	52.132633
"204"	"AW"	"US"	3	2020-10-04	-69.968338	12.52111	-95.712891	37.09024
"205"	"AW"	"VC"	1	2020-10-04	-69.968338	12.52111	-61.287228	12.984305
"206"	"AZ"	"IT"	2	2020-10-04	47.576927	40.143105	12.56738	41.87194
"207"	"AZ"	"TR"	5	2020-10-04	47.576927	40.143105	35.243322	38.963745
"208"	"AZ"	"UA"	1	2020-10-04	47.576927	40.143105	31.16558	48.379433
"209"	"BA"	"HR"	2	2020-10-04	17.679076	43.915886	15.2	45.1
"210"	"BA"	"IR"	1	2020-10-04	17.679076	43.915886	53.688046	32.427908
"211"	"BA"	"NL"	1	2020-10-04	17.679076	43.915886	5.291266	52.132633
"212"	"BA"	"PT"	1	2020-10-04	17.679076	43.915886	-8.224454	39.399872
"213"	"BA"	"QA"	1	2020-10-04	17.679076	43.915886	51.183884	25.354826
"214"	"BA"	"RO"	1	2020-10-04	17.679076	43.915886	24.96676	45.943161
"215"	"BA"	"US"	3	2020-10-04	17.679076	43.915886	-95.712891	37.09024
"216"	"BA"	"XK"	1	2020-10-04	17.679076	43.915886	20.902977	42.602636
"217"	"BB"	"GB"	3	2020-10-04	-59.543198	13.193887	-3.435973	55.378051
"218"	"BB"	"GH"	1	2020-10-04	-59.543198	13.193887	-1.023194	7.946527
"219"	"BB"	"JM"	4	2020-10-04	-59.543198	13.193887	-77.297508	18.109581
"220"	"BB"	"MY"	1	2020-10-04	-59.543198	13.193887	101.975766	4.210484
"221"	"BB"	"NL"	1	2020-10-04	-59.543198	13.193887	5.291266	52.132633
"222"	"BB"	"US"	3	2020-10-04	-59.543198	13.193887	-95.712891	37.09024
"223"	"BD"	"CA"	6	2020-10-04	90.356331	23.684994	-106.346771	56.130366
"224"	"BD"	"CN"	1	2020-10-04	90.356331	23.684994	104.195397	35.86166
"225"	"BD"	"DE"	1	2020-10-04	90.356331	23.684994	10.451526	51.165691
"226"	"BD"	"EG"	2	2020-10-04	90.356331	23.684994	30.802498	26.820553
"227"	"BD"	"FI"	1	2020-10-04	90.356331	23.684994	25.748151	61.92411
"228"	"BD"	"GB"	19	2020-10-04	90.356331	23.684994	-3.435973	55.378051
"229"	"BD"	"ID"	1	2020-10-04	90.356331	23.684994	113.921327	-0.789275
"230"	"BD"	"IN"	16	2020-10-04	90.356331	23.684994	78.96288	20.593684
"231"	"BD"	"IT"	3	2020-10-04	90.356331	23.684994	12.56738	41.87194
"232"	"BD"	"JP"	4	2020-10-04	90.356331	23.684994	138.252924	36.204824
"233"	"BD"	"KR"	3	2020-10-04	90.356331	23.684994	127.766922	35.907757
"234"	"BD"	"MY"	7	2020-10-04	90.356331	23.684994	101.975766	4.210484
"235"	"BD"	"NO"	2	2020-10-04	90.356331	23.684994	8.468946	60.472024
"236"	"BD"	"NP"	6	2020-10-04	90.356331	23.684994	84.124008	28.394857
"237"	"BD"	"PK"	8	2020-10-04	90.356331	23.684994	69.345116	30.375321
"238"	"BD"	"RO"	2	2020-10-04	90.356331	23.684994	24.96676	45.943161
"239"	"BD"	"SA"	6	2020-10-04	90.356331	23.684994	45.079162	23.885942
"240"	"BD"	"SE"	5	2020-10-04	90.356331	23.684994	18.643501	60.128161
"241"	"BD"	"TH"	1	2020-10-04	90.356331	23.684994	100.992541	15.870032
"242"	"BD"	"TR"	3	2020-10-04	90.356331	23.684994	35.243322	38.963745
"243"	"BD"	"TW"	4	2020-10-04	90.356331	23.684994	120.960515	23.69781
"244"	"BD"	"US"	49	2020-10-04	90.356331	23.684994	-95.712891	37.09024
"245"	"BD"	"VN"	2	2020-10-04	90.356331	23.684994	108.277199	14.058324
"246"	"BD"	"ZA"	5	2020-10-04	90.356331	23.684994	22.937506	-30.559482
"247"	"BD"	"ZW"	3	2020-10-04	90.356331	23.684994	29.154857	-19.015438
"248"	"BE"	"BR"	4	2020-10-04	4.469936	50.503887	-51.92528	-14.235004
"249"	"BE"	"CA"	4	2020-10-04	4.469936	50.503887	-106.346771	56.130366
"250"	"BE"	"CD"	2	2020-10-04	4.469936	50.503887	21.758664	-4.038333
"251"	"BE"	"CH"	3	2020-10-04	4.469936	50.503887	8.227512	46.818188
"252"	"BE"	"CL"	1	2020-10-04	4.469936	50.503887	-71.542969	-35.675147
"253"	"BE"	"CN"	6	2020-10-04	4.469936	50.503887	104.195397	35.86166
"254"	"BE"	"DE"	5	2020-10-04	4.469936	50.503887	10.451526	51.165691
"255"	"BE"	"DK"	1	2020-10-04	4.469936	50.503887	9.501785	56.26392
"256"	"BE"	"ES"	5	2020-10-04	4.469936	50.503887	-3.74922	40.463667
"257"	"BE"	"ET"	1	2020-10-04	4.469936	50.503887	40.489673	9.145
"258"	"BE"	"FR"	38	2020-10-04	4.469936	50.503887	2.213749	46.227638
"259"	"BE"	"GA"	1	2020-10-04	4.469936	50.503887	11.609444	-0.803689
"260"	"BE"	"GB"	33	2020-10-04	4.469936	50.503887	-3.435973	55.378051
"261"	"BE"	"GN"	1	2020-10-04	4.469936	50.503887	-9.696645	9.945587
"262"	"BE"	"GR"	2	2020-10-04	4.469936	50.503887	21.824312	39.074208
"263"	"BE"	"HU"	1	2020-10-04	4.469936	50.503887	19.503304	47.162494
"264"	"BE"	"IE"	3	2020-10-04	4.469936	50.503887	-8.24389	53.41291
"265"	"BE"	"IL"	1	2020-10-04	4.469936	50.503887	34.851612	31.046051
"266"	"BE"	"IT"	46	2020-10-04	4.469936	50.503887	12.56738	41.87194
"267"	"BE"	"JP"	3	2020-10-04	4.469936	50.503887	138.252924	36.204824
"268"	"BE"	"KE"	1	2020-10-04	4.469936	50.503887	37.906193	-0.023559
"269"	"BE"	"KH"	1	2020-10-04	4.469936	50.503887	104.990963	12.565679
"270"	"BE"	"LB"	1	2020-10-04	4.469936	50.503887	35.862285	33.854721
"271"	"BE"	"LU"	1	2020-10-04	4.469936	50.503887	6.129583	49.815273
"272"	"BE"	"MA"	1	2020-10-04	4.469936	50.503887	-7.09262	31.791702
"273"	"BE"	"MY"	1	2020-10-04	4.469936	50.503887	101.975766	4.210484
"274"	"BE"	"NG"	2	2020-10-04	4.469936	50.503887	8.675277	9.081999
"275"	"BE"	"NI"	1	2020-10-04	4.469936	50.503887	-85.207229	12.865416
"276"	"BE"	"NL"	49	2020-10-04	4.469936	50.503887	5.291266	52.132633
"277"	"BE"	"NO"	5	2020-10-04	4.469936	50.503887	8.468946	60.472024
"278"	"BE"	"NP"	1	2020-10-04	4.469936	50.503887	84.124008	28.394857
"279"	"BE"	"NZ"	6	2020-10-04	4.469936	50.503887	174.885971	-40.900557
"280"	"BE"	"PH"	1	2020-10-04	4.469936	50.503887	121.774017	12.879721
"281"	"BE"	"PL"	8	2020-10-04	4.469936	50.503887	19.145136	51.919438
"282"	"BE"	"PT"	16	2020-10-04	4.469936	50.503887	-8.224454	39.399872
"283"	"BE"	"QA"	1	2020-10-04	4.469936	50.503887	51.183884	25.354826
"284"	"BE"	"RO"	2	2020-10-04	4.469936	50.503887	24.96676	45.943161
